iter	Passed	Remaining
0	73	147287
1	80	80226
2	88	58632
3	90	45185
4	94	37561
5	100	33353
6	109	31111
7	114	28403
8	115	25618
9	118	23505
10	119	21666
11	123	20484
12	124	19029
13	127	18135
14	131	17379
15	134	16713
16	136	15972
17	139	15342
18	141	14769
19	144	14293
20	146	13760
21	148	13391
22	151	13056
23	155	12769
24	156	12372
25	159	12077
26	160	11741
27	163	11526
28	167	11368
29	170	11171
30	171	10888
31	173	10700
32	175	10452
33	177	10275
34	178	10021
35	180	9823
36	182	9701
37	184	9525
38	186	9391
39	187	9188
40	188	9022
41	189	8828
42	190	8692
43	191	8523
44	194	8446
45	195	8300
46	196	8164
47	197	8021
48	199	7959
49	202	7903
50	206	7894
51	209	7866
52	211	7755
53	211	7627
54	214	7570
55	216	7529
56	217	7414
57	220	7372
58	225	7409
59	228	7393
60	231	7352
61	232	7257
62	235	7228
63	236	7139
64	236	7046
65	237	6958
66	239	6921
67	243	6930
68	246	6904
69	250	6897
70	252	6870
71	255	6851
72	257	6799
73	260	6776
74	264	6797
75	267	6768
76	270	6753
77	273	6731
78	275	6692
79	277	6664
80	279	6627
81	283	6630
82	284	6574
83	287	6554
84	290	6538
85	291	6487
86	292	6424
87	294	6407
88	298	6411
89	301	6395
90	304	6385
91	305	6341
92	308	6333
93	310	6296
94	311	6243
95	312	6190
96	312	6132
97	313	6074
98	313	6025
99	317	6026
100	320	6025
101	323	6016
102	326	6012
103	328	5992
104	333	6025
105	337	6032
106	341	6033
107	344	6039
108	346	6016
109	349	6008
110	353	6017
111	357	6021
112	360	6016
113	363	6010
114	364	5982
115	367	5975
116	371	5971
117	374	5974
118	375	5939
119	376	5895
120	379	5887
121	382	5889
122	386	5892
123	388	5883
124	390	5853
125	392	5838
126	395	5833
127	399	5845
128	402	5830
129	405	5831
130	407	5814
131	410	5805
132	411	5774
133	414	5770
134	417	5770
135	418	5736
136	421	5736
137	424	5733
138	427	5729
139	430	5724
140	433	5716
141	434	5690
142	437	5685
143	439	5662
144	439	5626
145	442	5620
146	446	5622
147	448	5616
148	450	5597
149	453	5591
150	455	5579
151	459	5582
152	462	5586
153	466	5589
154	469	5586
155	472	5588
156	476	5588
157	480	5595
158	483	5603
159	487	5603
160	490	5602
161	493	5598
162	496	5593
163	499	5594
164	502	5588
165	505	5582
166	506	5562
167	509	5554
168	512	5554
169	515	5553
170	519	5551
171	519	5521
172	521	5512
173	525	5516
174	528	5514
175	532	5515
176	536	5522
177	539	5522
178	542	5522
179	546	5528
180	549	5525
181	553	5525
182	556	5523
183	560	5534
184	563	5529
185	566	5527
186	570	5528
187	573	5528
188	576	5528
189	580	5526
190	583	5525
191	586	5525
192	590	5528
193	594	5530
194	597	5527
195	599	5521
196	603	5520
197	606	5523
198	610	5527
199	614	5527
200	617	5523
201	620	5519
202	623	5519
203	627	5523
204	631	5530
205	636	5540
206	640	5550
207	644	5552
208	648	5553
209	651	5556
210	655	5560
211	659	5564
212	663	5563
213	667	5566
214	670	5563
215	673	5561
216	676	5560
217	680	5561
218	683	5560
219	686	5554
220	689	5550
221	692	5546
222	696	5546
223	699	5548
224	703	5548
225	705	5541
226	708	5536
227	711	5530
228	715	5532
229	718	5526
230	721	5523
231	723	5516
232	727	5513
233	730	5511
234	734	5513
235	737	5512
236	740	5508
237	743	5503
238	746	5502
239	750	5504
240	753	5503
241	757	5503
242	760	5500
243	763	5497
244	767	5496
245	770	5493
246	774	5493
247	777	5495
248	781	5492
249	784	5494
250	788	5492
251	791	5492
252	795	5493
253	798	5491
254	802	5492
255	806	5492
256	809	5488
257	813	5489
258	815	5484
259	819	5483
260	822	5479
261	826	5480
262	828	5474
263	832	5475
264	835	5472
265	839	5471
266	842	5470
267	846	5469
268	849	5467
269	852	5462
270	855	5458
271	859	5457
272	862	5455
273	865	5451
274	869	5451
275	872	5448
276	875	5445
277	878	5443
278	881	5439
279	884	5434
280	887	5432
281	891	5430
282	894	5428
283	897	5422
284	900	5418
285	903	5415
286	906	5411
287	909	5407
288	912	5404
289	916	5404
290	919	5399
291	923	5399
292	926	5396
293	929	5392
294	933	5393
295	937	5394
296	940	5395
297	944	5391
298	947	5391
299	951	5390
300	954	5387
301	957	5383
302	962	5391
303	966	5392
304	970	5396
305	974	5394
306	978	5397
307	982	5397
308	986	5396
309	989	5395
310	993	5394
311	996	5392
312	999	5387
313	1002	5384
314	1005	5379
315	1008	5376
316	1012	5373
317	1015	5371
318	1018	5367
319	1021	5362
320	1025	5364
321	1029	5362
322	1032	5360
323	1035	5358
324	1039	5358
325	1043	5357
326	1046	5353
327	1049	5349
328	1055	5362
329	1063	5382
330	1068	5385
331	1072	5390
332	1076	5389
333	1080	5389
334	1083	5387
335	1087	5383
336	1090	5383
337	1094	5384
338	1098	5384
339	1102	5380
340	1106	5381
341	1109	5380
342	1112	5376
343	1115	5371
344	1119	5372
345	1123	5371
346	1128	5376
347	1133	5379
348	1137	5380
349	1141	5383
350	1145	5380
351	1148	5379
352	1151	5374
353	1154	5370
354	1158	5366
355	1161	5363
356	1165	5362
357	1168	5361
358	1172	5360
359	1176	5359
360	1179	5356
361	1182	5351
362	1186	5350
363	1189	5345
364	1192	5342
365	1196	5340
366	1199	5335
367	1204	5341
368	1208	5339
369	1211	5337
370	1215	5339
371	1220	5339
372	1224	5342
373	1228	5341
374	1231	5336
375	1234	5331
376	1237	5327
377	1240	5324
378	1244	5322
379	1253	5342
380	1257	5343
381	1261	5341
382	1265	5341
383	1268	5337
384	1271	5332
385	1274	5329
386	1277	5325
387	1281	5322
388	1284	5319
389	1287	5316
390	1291	5314
391	1294	5309
392	1298	5309
393	1301	5304
394	1304	5300
395	1307	5297
396	1311	5293
397	1313	5288
398	1317	5285
399	1320	5281
400	1323	5278
401	1327	5277
402	1331	5274
403	1335	5275
404	1340	5278
405	1344	5276
406	1347	5276
407	1352	5276
408	1355	5273
409	1359	5273
410	1363	5272
411	1366	5266
412	1369	5264
413	1373	5262
414	1377	5261
415	1380	5257
416	1383	5253
417	1387	5251
418	1390	5248
419	1393	5242
420	1396	5237
421	1399	5233
422	1402	5229
423	1405	5223
424	1408	5219
425	1412	5218
426	1415	5215
427	1419	5212
428	1422	5210
429	1426	5207
430	1429	5203
431	1432	5199
432	1435	5195
433	1439	5195
434	1443	5192
435	1446	5188
436	1449	5185
437	1452	5180
438	1456	5177
439	1459	5174
440	1462	5171
441	1466	5167
442	1469	5166
443	1473	5164
444	1476	5160
445	1479	5155
446	1482	5149
447	1485	5145
448	1488	5143
449	1492	5139
450	1495	5136
451	1498	5130
452	1500	5125
453	1504	5121
454	1507	5119
455	1511	5116
456	1514	5113
457	1517	5109
458	1521	5107
459	1524	5103
460	1527	5100
461	1531	5098
462	1534	5094
463	1537	5090
464	1540	5086
465	1544	5083
466	1548	5082
467	1551	5077
468	1554	5073
469	1557	5069
470	1560	5065
471	1563	5063
472	1566	5058
473	1570	5056
474	1574	5053
475	1577	5049
476	1580	5046
477	1583	5042
478	1586	5038
479	1590	5035
480	1593	5031
481	1596	5028
482	1599	5024
483	1603	5022
484	1606	5019
485	1609	5014
486	1612	5010
487	1616	5007
488	1619	5004
489	1622	5000
